Order,Species,rawdistance,rawstrain,rawstress,rawinitial,rawfinal,standistance,stanstrain,stanstress,staninitial,stanfinal
Red,C_corymbifera,30.5,0.294,0.95,2.33,3.71,-0.087281796,-0.242268041,-0.253438114,-0.336812144,-0.035946297
Red,C_corymbifera,42,0.423,1.494,3.64,5.13,0.256857855,0.090206186,0.174066798,0.036053131,0.333044608
Red,C_corymbifera,56,0.444,1.003,2.78,2.6,0.675810474,0.144329897,-0.211787819,-0.208728653,-0.32438285
Red,C_corymbifera,48,0.455,1.178,2.05,2.8,0.436408978,0.172680412,-0.074263261,-0.416508539,-0.2724123
Red,Neodilsea,8.5,0.388,2.911,6.86,9.14,-0.433333333,0.290108063,0.597256516,0.367896311,0.16992
Red,Neodilsea,14,0.314,1.408,3.39,6.21,-0.066666667,0.044056525,-0.227434842,-0.324027916,-0.20512
Red,Neodilsea,19,0.171,1.099,6.43,8.29,0.266666667,-0.431421446,-0.396982167,0.282153539,0.06112
Red,Neodilsea,18.5,0.33,1.872,3.38,7.61,0.233333333,0.097256858,0.027160494,-0.326021934,-0.02592
Red,Mastocarpus,6,0.421,4.035,8.2,9.48,-0.505154639,-0.03495702,0.27136668,0.805173363,0.183520599
Red,Mastocarpus,9,0.473,3.128,2.44,8,-0.257731959,0.084240688,-0.014415124,-0.462850853,-0.001248439
Red,Mastocarpus,17.5,0.359,2.566,3.11,7.82,0.443298969,-0.177077364,-0.191492714,-0.315354981,-0.02372035
Red,Mastocarpus,16,0.492,2.966,4.42,6.74,0.319587629,0.127793696,-0.065458842,-0.026967529,-0.15855181
Red,C_pinnata,7.5,0.318,3.551,23.83,6.83,-0.496644295,0.078697422,0.108717372,0.55487407,-0.108122225
Red,C_pinnata,15.5,0.315,2.866,14.81,5.95,0.040268456,0.068521031,-0.105157987,-0.033668276,-0.223034735
Red,C_pinnata,22,0.241,1.814,6.24,5.89,0.476510067,-0.182496608,-0.433620582,-0.592848754,-0.230869679
Red,C_pinnata,18.5,0.253,3.213,14.69,8.61,0.241610738,-0.141791045,0.003184713,-0.041498108,0.124314442
Red,C_pinnata,11,0.347,4.57,17.06,11.01,-0.261744966,0.177069199,0.426876483,0.113141067,0.437712196
Red,Cryptopleura,6,0.245,2.747,9,9.59,-0.5,0.05,-0.607776879,-0.823886244,-0.425059952
Red,Cryptopleura,13,0.223,9.643,85.36,20.84,0.083333333,-0.044285714,0.376850221,0.670341139,0.24940048
Red,Cryptopleura,17,0.232,8.621,58.95,19.61,0.416666667,-0.005714286,0.230926657,0.153545105,0.175659472
Red,Weeksia,5.5,0.539,2.961,4.73,4.15,-0.568627451,-0.029266096,0.235422969,0.677304965,-0.117959617
